cell	status
c8_u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260725	pending
c8_u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260726	pending
c8_u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260727	pending
c8_u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260725	pending
c8_u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260726	pending
c8_u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260727	pending
