job,phase,z,kind,mode,contact,n,patient_fraction,model_fraction
fixed_m100_dyn847102,fixed,-1.0,fixed,0,SCL6,1,0.7087055261165783,1.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,ICL7,1,0.6687358062074186,0.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,ICL6,1,0.4834216502649508,0.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,ICL5,1,0.6319454958364875,0.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,ICL4,1,0.851778955336866,1.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,ICL3,1,0.863890991672975,0.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,ICL2,1,0.8146858440575322,0.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,ICL1,1,0.7751703255109765,0.0
fixed_m100_dyn847102,fixed,-1.0,fixed,1,SCL9,0,0.7913406760349412,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,ICL11,0,0.8876566654006837,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,SCL8,0,0.9051272312951006,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,ICL10,0,0.8992783896695784,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,SCL7,0,0.9323205469046715,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,ICL9,0,0.9011773642233194,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,ICL8,0,0.8823395366502089,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,SCL6,0,0.8318268135206989,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,ICL7,0,0.7187998480820357,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,ICL6,0,0.5595898214963919,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,ICL5,0,0.7086213444739841,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,ICL4,0,0.9535890619065704,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,ICL3,0,0.9640714014432207,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,ICL2,0,0.8575769084694265,
fixed_m100_dyn847102,fixed,-1.0,fixed,1,ICL1,0,0.7690087352829472,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,SCL9,0,0.6775170325510976,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,ICL11,0,0.8239212717638152,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,SCL8,0,0.8310370931112794,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,ICL10,0,0.8405753217259652,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,SCL7,0,0.8449659348978047,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,ICL9,0,0.8514761544284632,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,ICL8,0,0.8535957607872824,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,SCL6,0,0.7087055261165783,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,ICL7,0,0.6687358062074186,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,ICL6,0,0.4834216502649508,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,ICL5,0,0.6319454958364875,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,ICL4,0,0.851778955336866,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,ICL3,0,0.863890991672975,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,ICL2,0,0.8146858440575322,
fixed_m050_dyn847102,fixed,-0.5,fixed,0,ICL1,0,0.7751703255109765,
fixed_m050_dyn847102,fixed,-0.5,fixed,1,SCL9,3,0.7913406760349412,0.6666666666666666
fixed_m050_dyn847102,fixed,-0.5,fixed,1,ICL11,3,0.8876566654006837,0.0
fixed_m050_dyn847102,fixed,-0.5,fixed,1,SCL8,3,0.9051272312951006,0.6666666666666666
fixed_m050_dyn847102,fixed,-0.5,fixed,1,ICL10,3,0.8992783896695784,0.0
fixed_m050_dyn847102,fixed,-0.5,fixed,1,SCL7,3,0.9323205469046715,0.6666666666666666
fixed_m050_dyn847102,fixed,-0.5,fixed,1,ICL9,3,0.9011773642233194,0.3333333333333333
fixed_m050_dyn847102,fixed,-0.5,fixed,1,ICL8,3,0.8823395366502089,1.0
fixed_m050_dyn847102,fixed,-0.5,fixed,1,SCL6,3,0.8318268135206989,0.6666666666666666
fixed_m050_dyn847102,fixed,-0.5,fixed,1,ICL7,3,0.7187998480820357,1.0
fixed_m050_dyn847102,fixed,-0.5,fixed,1,ICL6,3,0.5595898214963919,1.0
fixed_m050_dyn847102,fixed,-0.5,fixed,1,ICL5,3,0.7086213444739841,1.0
fixed_m050_dyn847102,fixed,-0.5,fixed,1,ICL4,3,0.9535890619065704,1.0
fixed_m050_dyn847102,fixed,-0.5,fixed,1,ICL3,3,0.9640714014432207,1.0
fixed_m050_dyn847102,fixed,-0.5,fixed,1,ICL2,3,0.8575769084694265,1.0
fixed_m050_dyn847102,fixed,-0.5,fixed,1,ICL1,3,0.7690087352829472,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,SCL9,1,0.6775170325510976,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,ICL11,1,0.8239212717638152,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,SCL8,1,0.8310370931112794,0.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,ICL10,1,0.8405753217259652,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,SCL7,1,0.8449659348978047,0.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,ICL9,1,0.8514761544284632,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,ICL8,1,0.8535957607872824,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,SCL6,1,0.7087055261165783,0.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,ICL7,1,0.6687358062074186,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,ICL6,1,0.4834216502649508,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,ICL5,1,0.6319454958364875,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,ICL4,1,0.851778955336866,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,ICL3,1,0.863890991672975,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,ICL2,1,0.8146858440575322,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,0,ICL1,1,0.7751703255109765,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,1,SCL9,3,0.7913406760349412,0.6666666666666666
fixed_zero_dyn847102,fixed,0.0,fixed,1,ICL11,3,0.8876566654006837,0.3333333333333333
fixed_zero_dyn847102,fixed,0.0,fixed,1,SCL8,3,0.9051272312951006,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,1,ICL10,3,0.8992783896695784,0.3333333333333333
fixed_zero_dyn847102,fixed,0.0,fixed,1,SCL7,3,0.9323205469046715,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,1,ICL9,3,0.9011773642233194,0.3333333333333333
fixed_zero_dyn847102,fixed,0.0,fixed,1,ICL8,3,0.8823395366502089,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,1,SCL6,3,0.8318268135206989,0.6666666666666666
fixed_zero_dyn847102,fixed,0.0,fixed,1,ICL7,3,0.7187998480820357,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,1,ICL6,3,0.5595898214963919,0.6666666666666666
fixed_zero_dyn847102,fixed,0.0,fixed,1,ICL5,3,0.7086213444739841,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,1,ICL4,3,0.9535890619065704,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,1,ICL3,3,0.9640714014432207,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,1,ICL2,3,0.8575769084694265,1.0
fixed_zero_dyn847102,fixed,0.0,fixed,1,ICL1,3,0.7690087352829472,1.0
